fecha,nombre_buque,bandera,tipo_buque,muelle,operacion,teu_cargados,tiempo_estadia_h,costo_usd
2018-01-01 00:00:00,MV-8270,Singapur,Portacontenedores,Muelle 3,Mixta,5568,52.8799000812159,10755.225312277511
2018-01-01 01:00:00,MV-1860,Malta,RoRo,Muelle 2,Mixta,2639,14.304466552695182,26059.264551016713
2018-01-01 02:00:00,MV-6390,Panamá,RoRo,Muelle 1,Descarga,1889,40.0335766015176,9852.092585366392
2018-01-01 03:00:00,MV-6191,Malta,RoRo,Muelle 5,Descarga,1553,10.297886655819797,23942.6454127108
2018-01-01 04:00:00,MV-6734,Liberia,Carga General,Muelle 4,Descarga,5772,23.559189943426905,19899.39838219727
2018-01-01 05:00:00,MV-7265,Singapur,Carga General,Muelle 3,Tránsito,5260,17.712372444652004,26744.546639880766
2018-01-01 06:00:00,MV-1466,Liberia,Tanquero,Muelle 4,Carga,772,78.48668034987698,19438.642515948002
2018-01-01 07:00:00,MV-5426,Panamá,Tanquero,Muelle 4,Reparación,891,38.45910142582152,18468.593526491364
2018-01-01 08:00:00,MV-6578,Singapur,Tanquero,Muelle Norte,Mixta,2397,14.938493607935703,24829.378429119337
2018-01-01 09:00:00,MV-9322,Islas Marshall,Buque Frigorífico,Muelle 4,Descarga,2271,31.362257999491774,18624.648128953984
2018-01-01 10:00:00,MV-2685,Malta,RoRo,Muelle 2,Carga,695,68.08711157415202,25958.09353348099
2018-01-01 11:00:00,MV-1769,Liberia,Carga General,Muelle 2,Mixta,73,73.61590395116728,5282.268775037058
2018-01-01 12:00:00,MV-7949,Panamá,RoRo,Muelle 5,Tránsito,3322,18.54813142675788,16873.896195173627
2018-01-01 13:00:00,MV-3433,Islas Marshall,Tanquero,Muelle 1,Reparación,4876,76.51384671418614,25129.979347821314
2018-01-01 14:00:00,MV-6311,Malta,Carga General,Muelle 3,Mixta,56,40.60920592310287,26057.4938198039
2018-01-01 15:00:00,MV-6051,Islas Marshall,Granelero,Muelle 2,Reparación,3751,67.78567486628029,25685.439812643548
2018-01-01 16:00:00,MV-7420,Malta,Portacontenedores,Muelle 4,Mixta,3282,67.09268545813109,19713.914309900658
2018-01-01 17:00:00,MV-2184,Singapur,Portacontenedores,Muelle 1,Tránsito,5766,77.83615945483226,29843.254895642644
2018-01-01 18:00:00,MV-5555,Islas Marshall,Tanquero,Muelle 3,Carga,2975,69.35208466719607,8716.044002947712
2018-01-01 19:00:00,MV-4385,Islas Marshall,RoRo,Muelle 3,Reparación,1321,11.420415387180018,8535.897064075902
2018-01-01 20:00:00,MV-7396,Islas Marshall,Granelero,Muelle 3,Reparación,4311,53.71433775828025,4853.389537637215
2018-01-01 21:00:00,MV-9666,Singapur,Carga General,Muelle 3,Carga,4573,22.623943265445522,29722.766582646185
2018-01-01 22:00:00,MV-3558,Panamá,RoRo,Muelle 5,Reparación,2242,93.35687929935673,13048.53319644744
2018-01-01 23:00:00,MV-8849,Malta,Tanquero,Muelle 3,Descarga,5680,30.513439388976607,23813.408668008018
2018-01-02 00:00:00,MV-3047,Islas Marshall,RoRo,Muelle 1,Carga,5078,44.96944691169164,5552.468132162466
2018-01-02 01:00:00,MV-3747,Singapur,Tanquero,Muelle 2,Tránsito,2606,25.309789356062492,11765.890764578868
2018-01-02 02:00:00,MV-1189,Panamá,Buque Frigorífico,Muelle 1,Mixta,3004,19.843843775980766,20220.030876267443
2018-01-02 03:00:00,MV-3734,Malta,Portacontenedores,Muelle 4,Mixta,1649,60.8818048531265,17644.28249858089
2018-01-02 04:00:00,MV-4005,Singapur,Portacontenedores,Muelle Norte,Carga,1716,51.399809089253814,9401.454232093032
2018-01-02 05:00:00,MV-5658,Malta,RoRo,Muelle 5,Descarga,4969,40.97005660106764,16001.415732596624
2018-01-02 06:00:00,MV-2899,Islas Marshall,Granelero,Muelle 5,Tránsito,5488,15.516873949334226,6828.331788667996
2018-01-02 07:00:00,MV-8734,Panamá,Carga General,Muelle 4,Mixta,1111,72.76442409083398,18110.2902784871
2018-01-02 08:00:00,MV-2267,Singapur,Tanquero,Muelle 1,Mixta,4711,8.515354215060864,6520.477519431824
2018-01-02 09:00:00,MV-2528,Panamá,Carga General,Muelle 1,Descarga,5811,48.27421977298002,20534.321896547328
2018-01-02 10:00:00,MV-4556,Islas Marshall,Portacontenedores,Muelle 4,Reparación,3851,63.66633430998941,8039.297030085506
2018-01-02 11:00:00,MV-4890,Panamá,Granelero,Muelle Norte,Carga,5683,45.90255353362252,18224.23319896693
2018-01-02 12:00:00,MV-9838,Panamá,Granelero,Muelle 3,Descarga,1213,19.106390584185085,7357.137675403705
2018-01-02 13:00:00,MV-6393,Liberia,Carga General,Muelle 3,Descarga,3929,76.48598998428308,14418.471275459879
2018-01-02 14:00:00,MV-9792,Panamá,Portacontenedores,Muelle 2,Descarga,1331,36.50706780271871,13147.620164447935
2018-01-02 15:00:00,MV-9433,Malta,Carga General,Muelle 1,Descarga,2714,19.858488504010108,23666.6781956585
2018-01-02 16:00:00,MV-8513,Singapur,RoRo,Muelle 1,Reparación,2945,56.423391697683535,20670.202759970798
2018-01-02 17:00:00,MV-3612,Liberia,Granelero,Muelle 4,Tránsito,1258,9.68709706563334,28364.30933047775
