mmsi,bandera,año_construccion,capacidad_dwt,longitud_m,calado_m
100000,Panamá,2003,72499,389.62187848479243,8.646154477157278
100001,Grecia,2022,120005,311.79220577555276,12.473447889007662
100002,Malta,2013,71780,123.34707730427972,8.618452937390483
100003,Singapur,2004,75725,147.43912846019288,8.306757468789455
100004,Malta,2006,14675,313.77245549389414,7.848588286168492
100005,Panamá,2010,101887,168.07304357275672,7.978077710237514
100006,Panamá,1992,123803,263.73778696535373,14.714532759077244
100007,Panamá,1990,116945,145.03485239001438,5.458202058759934
100008,Malta,2003,136008,365.081955803879,8.228236550293289
100009,Malta,2018,96937,267.16918405994255,16.822020227896804
100010,Grecia,1996,103937,190.65838929819847,9.192463605152604
100011,Panamá,2006,23831,372.4312603541053,9.929402996792653
100012,Singapur,2014,115320,257.11817040404594,15.257931227132755
100013,Panamá,2016,103852,263.16251774784007,14.163738829030779
100014,Liberia,2000,132952,218.96641401203766,5.3377237201383565
100015,Malta,2000,26584,137.51921865380726,6.3842747735720415
100016,Panamá,2007,136913,165.3804916913371,10.582189106080763
100017,Malta,2009,8622,242.08186536330714,11.496789619207902
100018,Grecia,1995,110332,313.25568725251463,7.157150725845296
100019,Singapur,2005,37598,161.3730862233936,8.24674241092343
100020,Grecia,1991,63279,146.64897642412333,15.17143516033069
100021,Liberia,2014,75693,256.1163975017736,10.051669746716803
100022,Malta,1990,7802,138.5549009444913,15.287935848619172
100023,Liberia,1991,144443,230.98810924686327,14.706609340537655
100024,Malta,1996,42308,267.76233752163813,9.850778469751418
100025,Malta,2003,129492,246.5860206083373,15.920334982879096
100026,Liberia,2007,111787,370.21602544933694,13.017030962714545
100027,Liberia,2022,43450,119.8010282414058,5.378204379921225
100028,Grecia,2018,134183,370.80812539346914,7.548664147665697
100029,Panamá,1990,140177,287.6960671063577,7.68167583008597
100030,Grecia,2020,63312,146.8780852604031,5.120721604474639
100031,Malta,2016,67082,131.19571253202673,14.078462897489535
100032,Liberia,2016,91172,349.43758838697374,14.345315590188042
100033,Grecia,1991,92694,107.72060082561208,15.615971735907461
100034,Singapur,2009,80760,273.9777109325151,11.302041668921081
